;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:14/11/2020 at 15:04:48
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:06
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:843-R-USB Thermopile 919P-030-18 (s/n:950105)  EF1.39 (s/n:947127)
;Channel B:841-PE-USB Thermopile 919P-030-18 (s/n:904190)  FO2.04 (s/n:903878)

;Channel A:Details
;Name:919P-030-18
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:370
;Settings:Range:AUTO

;Channel B:Details
;Name:919P-030-18
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:380
;Settings:Range:AUTO

;Channel A:Statistics
;Min:-5.000mW            
;Max:2.618W              
;Average:2.472W              
;Std.Dev.:44.25mW             
;Overrange:0                   

;Channel B:Statistics
;Min:-2.000mW            
;Max:2.793W              
;Average:2.689W              
;Std.Dev.:40.39mW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 14/11/2020 at 15:04:48.636000
  Timestamp   	  Channel A  	  Channel B  	
       666.086	             	  2.763e+000 	
       672.051	  2.544e+000 	             	
       672.084	             	  2.763e+000 	
       678.054	  2.529e+000 	             	
       678.083	             	  2.760e+000 	
       684.049	  2.547e+000 	             	
       684.082	             	  2.758e+000 	
       690.048	  2.544e+000 	             	
       690.081	             	  2.758e+000 	
       696.045	  2.533e+000 	             	
       696.079	             	  2.752e+000 	
       702.044	  2.545e+000 	             	
       702.078	             	  2.756e+000 	
       708.049	  2.538e+000 	             	
       708.077	             	  2.750e+000 	
       714.041	  2.540e+000 	             	
       714.076	             	  2.757e+000 	
       720.040	  2.538e+000 	             	
       720.075	             	  2.756e+000 	
       726.039	  2.535e+000 	             	
       726.073	             	  2.746e+000 	
       732.037	  2.540e+000 	             	
       732.072	             	  2.762e+000 	
       738.042	  2.541e+000 	             	
       738.071	             	  2.755e+000 	
       744.035	  2.543e+000 	             	
       744.070	             	  2.758e+000 	
       750.034	  2.534e+000 	             	
       750.068	             	  2.756e+000 	
       756.032	  2.548e+000 	             	
       756.067	             	  2.746e+000 	
       762.032	  2.539e+000 	             	
       762.066	             	  2.764e+000 	
       768.036	  2.538e+000 	             	
       768.065	             	  2.756e+000 	
       774.029	  2.531e+000 	             	
       774.064	             	  2.756e+000 	
       780.028	  2.540e+000 	             	
       780.062	             	  2.757e+000 	
       786.026	  2.527e+000 	             	
       786.061	             	  2.748e+000 	
       792.026	  2.531e+000 	             	
       792.060	             	  2.750e+000 	
       798.029	  2.539e+000 	             	
       798.059	             	  2.755e+000 	
       804.022	  2.543e+000 	             	
       804.057	             	  2.761e+000 	
       810.021	  2.539e+000 	             	
       810.056	             	  2.758e+000 	
       816.019	  2.543e+000 	             	
       816.055	             	  2.748e+000 	
       822.021	  2.539e+000 	             	
       822.054	             	  2.760e+000 	
       828.017	  2.533e+000 	             	
       828.053	             	  2.758e+000 	
       834.015	  2.547e+000 	             	
       834.051	             	  2.757e+000 	
       840.014	  2.537e+000 	             	
       840.050	             	  2.757e+000 	
       846.012	  2.537e+000 	             	
       846.049	             	  2.754e+000 	
       852.015	  2.532e+000 	             	
       852.048	             	  2.758e+000 	
       858.010	  2.539e+000 	             	
       858.046	             	  2.759e+000 	
       864.009	  2.536e+000 	             	
       864.045	             	  2.752e+000 	
       870.007	  2.541e+000 	             	
       870.044	             	  2.753e+000 	
       876.006	  2.537e+000 	             	
       876.043	             	  2.756e+000 	
       882.010	  2.536e+000 	             	
       882.042	             	  2.750e+000 	
       888.003	  2.535e+000 	             	
       888.040	             	  2.756e+000 	
       894.002	  2.533e+000 	             	
       894.039	             	  2.752e+000 	
       900.000	  2.540e+000 	             	
       900.038	             	  2.756e+000 	
       906.037	             	  2.751e+000 	
       906.066	  2.535e+000 	             	
       912.004	  2.547e+000 	             	
       912.035	             	  2.750e+000 	
