;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:16/11/2020 at 09:57:09
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:06
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:843-R-USB Thermopile 919P-030-18 (s/n:950105)  EF1.39 (s/n:947127)
;Channel B:841-PE-USB Thermopile 919P-030-18 (s/n:904190)  FO2.04 (s/n:903878)

;Channel A:Details
;Name:919P-030-18
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:370
;Settings:Range:AUTO

;Channel B:Details
;Name:919P-030-18
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:380
;Settings:Range:AUTO

;Channel A:Statistics
;Min:0.000W              
;Max:0.000W              
;Average:0.000W              
;Std.Dev.:0.000W              
;Overrange:0                   

;Channel B:Statistics
;Min:0.000W              
;Max:0.000W              
;Average:0.000W              
;Std.Dev.:0.000W              
;Overrange:0                   
;--------------------


;First Pulse Arrived : 16/11/2020 at 09:57:09.644000
  Timestamp   	  Channel A  	  Channel B  	
      1416.020	  2.470e+000 	             	
      1416.064	             	  2.689e+000 	
      1422.019	  2.463e+000 	             	
      1422.062	             	  2.685e+000 	
      1428.018	  2.473e+000 	             	
      1428.061	             	  2.687e+000 	
      1434.018	  2.476e+000 	             	
      1434.060	             	  2.686e+000 	
      1440.021	  2.477e+000 	             	
      1440.059	             	  2.685e+000 	
      1446.014	  2.469e+000 	             	
      1446.058	             	  2.681e+000 	
      1452.012	  2.470e+000 	             	
      1452.056	             	  2.686e+000 	
      1458.011	  2.476e+000 	             	
      1458.055	             	  2.684e+000 	
      1464.012	  2.472e+000 	             	
      1464.054	             	  2.680e+000 	
      1470.008	  2.473e+000 	             	
      1470.053	             	  2.685e+000 	
      1476.007	  2.472e+000 	             	
      1476.051	             	  2.685e+000 	
      1482.006	  2.469e+000 	             	
      1482.050	             	  2.681e+000 	
      1488.005	  2.478e+000 	             	
      1488.049	             	  2.685e+000 	
      1494.007	  2.469e+000 	             	
      1494.048	             	  2.683e+000 	
      1500.002	  2.471e+000 	             	
      1500.047	             	  2.682e+000 	
      1506.001	  2.468e+000 	             	
      1506.045	             	  2.678e+000 	
      1512.044	             	  2.686e+000 	
      1512.065	  2.470e+000 	             	
      1518.043	             	  2.689e+000 	
      1518.064	  2.468e+000 	             	
      1524.002	  2.472e+000 	             	
      1524.042	             	  2.682e+000 	
      1530.040	             	  2.687e+000 	
      1530.061	  2.482e+000 	             	
      1536.039	             	  2.684e+000 	
      1536.060	  2.467e+000 	             	
      1542.038	             	  2.686e+000 	
      1542.059	  2.468e+000 	             	
      1548.037	             	  2.687e+000 	
      1548.058	  2.467e+000 	             	
      1554.035	             	  2.685e+000 	
      1554.061	  2.460e+000 	             	
      1560.034	             	  2.686e+000 	
      1560.055	  2.475e+000 	             	
      1566.033	             	  2.683e+000 	
      1566.054	  2.473e+000 	             	
      1572.032	             	  2.683e+000 	
      1572.053	  2.457e+000 	             	
      1578.031	             	  2.679e+000 	
      1578.051	  2.465e+000 	             	
      1584.029	             	  2.684e+000 	
      1584.056	  2.470e+000 	             	
      1590.028	             	  2.683e+000 	
      1590.049	  2.478e+000 	             	
      1596.027	             	  2.687e+000 	
      1596.047	  2.455e+000 	             	
      1602.026	             	  2.679e+000 	
      1602.046	  2.473e+000 	             	
      1608.024	             	  2.678e+000 	
      1608.045	  2.469e+000 	             	
      1614.023	             	  2.689e+000 	
      1614.049	  2.473e+000 	             	
      1620.022	             	  2.682e+000 	
      1620.042	  2.465e+000 	             	
      1626.021	             	  2.681e+000 	
      1626.040	  2.475e+000 	             	
      1632.020	             	  2.690e+000 	
      1632.040	  2.470e+000 	             	
